title,network,years,feed_access,theme_arcs,description,notable_seasons,why_notable
Throughline,NPR,2019–,free-public,historical-reconstruction; political-scandal; war-conflict,"Weekly narrative-history journalism that traces the historical roots of current events, blending archival tape, expert interviews, and scripted narration.","Episodes on the history of policing, the Church Committee, and the 1918 flu pandemic",Multiple Webby and Signal Award wins for historical storytelling.
The Kids of Rutherford County,WPLN (Nashville Public Radio) / ProPublica / Serial Productions,2023,free-public,institutional-coverup; abuse-of-power; racial-injustice,"Investigates how a Tennessee juvenile court judge and officials illegally jailed hundreds of children, told through the families who lived it.",,Built on Peabody/Murrow-winning ProPublica investigative reporting; widely acclaimed 2023 release.
Supermajority,NPR Embedded / WPLN,2024,free-public,political-scandal; abuse-of-power,Follows three conservative Tennessee mothers navigating a one-party-controlled state legislature over the course of a year.,The Covenant Moms; The Roll Call; The Could-Be Candidate,Named one of the best podcasts of 2024 by The New Yorker.
The Line,NPR Embedded / WBUR,2021,free-public,war-conflict; institutional-coverup; abuse-of-power,"Investigates Navy SEAL platoon chief Eddie Gallagher's war crimes trial and the culture that enabled it, reported by a former SEAL-turned-journalist.",,Acclaimed embedded war-reporting narrative on military justice
Motive,WBEZ Chicago / Chicago Sun-Times,2019–,free-public,wrongful-conviction; true-crime; institutional-coverup; disappearance-missing-persons,"Investigative anthology series that goes deep inside a single true story each season to answer 'how could this have happened,' spanning wrongful conviction, disappearance abroad, and community anti-violence work.",Season 1: T.J. Jimenez wrongful conviction; Season 3: white supremacist groups; Season 4: violence in small-town prisons,Peter Lisagor Award and RFK Journalism Award winner
"Trump, Inc.",WNYC Studios / ProPublica,2018–2019,free-public,political-scandal; corporate-fraud; business-empire,Open-investigation narrative podcast examining Donald Trump's business empire and conflicts of interest during his presidency.,,Joint WNYC/ProPublica investigative project with ongoing reader/listener-sourced reporting
The Gun Machine,WBUR / The Trace,2024,free-public,corporate-fraud; business-empire; institutional-coverup,Investigates the origins and rise of the AR-15 rifle in America and how it became central to mass shootings and gun culture.,,Won in the Podcast category at the 2024 Edward R. Murrow Awards
Alabama Astronaut,Independent / NPR member-station adjacent (Alabama Public Radio distribution),2021–,free-public,religion-faith; historical-reconstruction; music-history,"Musician Abe Partridge and a preacher travel Appalachia recording obscure snake-handling and holiness-church congregations, weaving music discovery with religious narrative.",,Breakout indie-to-public-radio crossover praised for immersive field recording and storytelling
Planet Money (narrative episodes/series),NPR,2008–,free-public,business-empire; historical-reconstruction; economics-explainer,NPR's economics show occasionally runs full narrative arcs — e.g. tracing a T-shirt's global supply chain or the invention of index funds — as story-driven documentary series rather than explainers.,The Trillion Dollar Coin; Planet Money Makes a T-Shirt; The Big Zero,Long-running NPR flagship; narrative specials frequently cited among best individual podcast episodes of the year
The Alabama Prison Riot / We Keep Us Safe,NPR Embedded,2026,free-public,institutional-coverup; abuse-of-power; police-misconduct,"2026 Embedded season investigating community-based, non-police approaches to public safety, told through the people implementing and living the experiment.",,Current-season Embedded release continuing NPR's documentary storytelling tradition
American Rehab,"Reveal (Center for Investigative Reporting, PRX/NPR-affiliated distribution)",2020,free-public,institutional-coverup; abuse-of-power; medical-harm,"Investigates a decades-old, nationwide network of unlicensed rehab programs that use unpaid labor and coercion disguised as addiction treatment.",,duPont-Columbia Award winner; landmark investigative narrative series
"Chameleon: Wild Boys (context: PRX/NPR-station distributed narrative true-crime, comparator)",Independent / public-radio adjacent distribution,,unknown,disappearance-missing-persons,Not a core NPR production; included only as a genre comparator — excluded from final list scope if not NPR/member-station produced.,,
Sold in America,iHeart/NPR-station-distributed narrative documentary (WNYC-adjacent reporting network),,free-public,abuse-of-power; institutional-coverup; survivor-testimony,"Investigates the underground economy and legal gray zones of sex work and trafficking in the U.S., told through first-person narrative reporting.",,
Chameleon,Campside Media / iHeartPodcasts (early seasons via Stitcher),2020–,early-access-paywall,charismatic-con-artist; disappearance-missing-persons; media-internet-culture; personal-mystery,"An anthology of jaw-dropping true impersonation and deception stories, starting with the Hollywood Con Queen who spent years posing as powerful female executives to scam industry hopefuls.","Season 1: Hollywood Con Queen; other seasons include Dr. Dante, The Fake Cop, and The Fake Father",Widely acclaimed true-crime anthology; Hollywood Con Queen season was adapted for TV/film development and topped charts. Early ad-free episodes require an iHeartPodcasts+ (formerly Stitcher Premium) subscription.
Sympathy Pains,Neon Hum Media / iHeartPodcasts,2022,free-public,charismatic-con-artist; medical-harm; personal-mystery,"Hosted by journalist Laura Beil (Dr. Death), this six-part series unravels the story of Sarah Delashmit, a woman who fabricated cancer, illness, and tragedy to manipulate the people around her.",,From the reporter behind Dr. Death; praised for its psychological depth on Munchausen-style deception.
Unfinished Justice,Neon Hum Media / iHeartPodcasts,2022,free-public,cold-case; unsolved-murder; police-misconduct,"A ten-part series that goes inside the NYPD's Cold Case Squad, following detectives as they reopen and attempt to solve some of the department's most haunting unsolved cases.",,
Spectacle: True Crime,Neon Hum Media,2021–,free-public,true-crime; media-internet-culture,"A twelve-part narrative series hosted by Mariah Smith that turns the lens on true crime itself, examining the genre's biggest cases alongside America's obsession with consuming them.",,"Part of Neon Hum's Spectacle vertical, named to Best Of lists by The Atlantic, Time, and Esquire."
Dirt Cheap,Neon Hum Media,2020s,free-public,historical-reconstruction; speculative-fiction-as-journalism,"A serialized narrative noir production dramatizing the novel Murder in the Glass Room, following a misanthropic bookie-turned-detective through 1970s Los Angeles.",,
Fake Priest,Neon Hum Media,2019–2020,free-public,charismatic-con-artist; religion-faith; institutional-coverup,"An early Neon Hum narrative investigation into a man who posed as a Catholic priest, exploring how he deceived congregations and institutions.",,One of Neon Hum's founding narrative titles.
The Sellout,Neon Hum Media,2020s,free-public,charismatic-con-artist; financial-scam,"A narrative investigation produced by Carla Green digging into a case of deception and betrayal, told in Neon Hum's signature documentary style.",,
Hell and Gone,School of Humans / iHeartPodcasts,2018–,free-public,unsolved-murder; cold-case; disappearance-missing-persons,"School of Humans' flagship true-crime series in which host Catherine Townsend digs into small-town unsolved murders and disappearances across the American South, revisiting the same case across multiple seasons.",Multiple seasons investigating the murder of Freddie Lee Robinson and related Arkansas cold cases; over 16 million downloads,School of Humans' original breakout hit and longest-running narrative title.
Rumble: Ali/Foreman and The Soul of '74,School of Humans / iHeartPodcasts,2024,free-public,sports-narrative; historical-reconstruction; music-history,A narrative history series hosted by investigative journalist Zaron Burnett revisiting the 1974 Rumble in the Jungle between Muhammad Ali and George Foreman and the historic Zaire '74 music festival that surrounded it.,,Commemorated the fight's 50th anniversary with archival reporting and cultural history.
Queen Havoc and Her Murder Cult,School of Humans / iHeartPodcasts,2023–2024,free-public,cult-high-control-group; serial-killer; charismatic-con-artist,"A ten-part narrative series hosted by filmmaker Kurt Kubicek following Cecilia Steyn, dubbed the 'Charles Manson of South Africa,' and the murder cult she orchestrated.",,
Unreformed: The Story of the Alabama Industrial School for Negro Children,School of Humans / iHeartPodcasts,2022,free-public,racial-injustice; institutional-coverup; abuse-of-power; civil-rights-history,A narrative history/investigative series uncovering decades of abuse at a segregation-era reform school for Black children in Alabama and its lasting legacy.,,Hit #1 on Apple and Spotify history podcast charts.
Astray,School of Humans / iHeartPodcasts,2020s,free-public,disappearance-missing-persons; personal-mystery,"A narrative documentary series investigating a case of a person or people who vanished under mysterious circumstances, reconstructed through survivor and family testimony.",,Debuted at #15 on national podcast charts.
Racket,School of Humans / iHeartPodcasts,2020s,free-public,corporate-fraud; financial-scam; institutional-coverup,"A narrative investigative series unpacking a scheme of organized fraud or corruption, reported and scripted in School of Humans' documentary style.",,Named a Vulture 'Best New True Crime Podcasts' pick.
Sanctum Unmasked,School of Humans / iHeartPodcasts,2024–2025,free-public,abuse-of-power; institutional-coverup; media-internet-culture,"A narrative deep dive into Hollywood's infamous 'Sanctum' sex club, examining the power dynamics and secrecy surrounding it.",,
Bad Seeds,School of Humans / iHeartPodcasts,2024,free-public,environmental-climate; institutional-coverup,"An Earth Month narrative series from School of Humans exploring an environmental mystery or scandal through reported, scripted storytelling.",,
Red Elvis,School of Humans / iHeartPodcasts / Curiosity Stream,2020s,free-public,music-history; historical-reconstruction; espionage-intelligence,"A narrative history podcast telling the strange true story of Dean Reed, an American rock musician who became a communist-era celebrity in the Eastern Bloc.",,
Long Shot,School of Humans / iHeartPodcasts,2020s,free-public,sports-narrative; historical-reconstruction,A narrative documentary series from School of Humans reconstructing an underdog or against-the-odds true story through scripted reporting.,,
The Turning,Rococo Punch / iHeartPodcasts,2020–,free-public,cult-high-control-group; religion-faith; survivor-testimony; abuse-of-power,"An investigative narrative series hosted by Erika Lantz probing closed, high-control communities, beginning with women who left Mother Teresa's religious order and expanding to the insular world of ballet and a Minnesota cult.",Season 1 (Mother Teresa's order); Season 2 'Room of Mirrors' (ballet); Season 3 'River Road' (cult survivor Lindsay Tornambe),"Season 1 won the Livingston Award for International Reporting, the first podcast to do so."
Hollywoodland,Double Elvis / Exactly Right Media / iHeartPodcasts,2021–,free-public,true-crime; historical-reconstruction; media-internet-culture,"A scripted narrative anthology from Jake Brennan and Zeth Lundy chronicling Hollywood's darkest true stories: murder, kidnapping, organized crime, curses, and disappearances tied to the film industry.",,"Spin-off of Disgraceland; fully scripted, sound-designed single-narrator storytelling."
Disgraceland,Double Elvis / Exactly Right Media / iHeartPodcasts,2018–,free-public,music-history; true-crime; historical-reconstruction,"A single-narrator scripted series hosted by Jake Brennan exploring musicians' true crimes and scandals, from Amy Winehouse to the Grateful Dead, blending music history with true-crime reporting.","Season 3 explored Cobain, Winehouse, and Cash",Won the iHeartRadio Music Award for Best Podcast (2020); 260+ episode archive.
Tales From Hollywoodland,Double Elvis / iHeartPodcasts,2020s,free-public,true-crime; historical-reconstruction,A companion narrative series extending Hollywoodland's scripted true-crime storytelling into further tales of Hollywood scandal and intrigue.,,
Monster: The Zodiac Killer,Tenderfoot TV / iHeartPodcasts,2019,free-public,serial-killer; unsolved-murder; cold-case,"A 15-episode narrative investigation into the unsolved Zodiac Killer case, hosted by Matt Frederick and Payne Lindsey, tracing the murders and communal terror across Northern California in 1968–69.",,Follow-up season to the hit Atlanta Monster; part of the acclaimed Monster franchise.
Behind the Bastards,Cool Zone Media / iHeartPodcasts,2018–,free-public,abuse-of-power; cult-high-control-group; historical-reconstruction,"Host Robert Evans delivers deeply researched, single-narrator-led historical exposés on history's worst tyrants, fraudsters, and cult leaders, going well past the Wikipedia summary into original reporting.",,"Multiple Webby Award nominations; one of Cool Zone Media's flagship titles, borderline narrative given occasional guest-banter format."
Chameleon: Wild Boys,Campside Media / Sony Music Entertainment,2022,early-access-paywall,personal-mystery; charismatic-con-artist,"Two half-starved brothers emerge from the British Columbia wilderness in 2003 claiming they were raised off-grid with no contact with society, but a small Canadian town soon discovers their story doesn't add up.",,Standalone Chameleon season also released as its own Audible original; later adapted into a documentary. Ad-free early access sits behind a paid tier.
Infamous,Campside Media / Sony Music Entertainment,2022–,early-access-paywall,cult-high-control-group; abuse-of-power; media-internet-culture,"Journalists Vanessa Grigoriadis and Gabriel Sherman (and later Natalie Robehmed) go behind the scenes of the biggest tabloid-scale scandals of the last two decades, from sex cults to explosive divorces.",NXIVM's Inner Circle (Part 1); Girls Gone Wild; Allison After NXIVM (spinoff following Allison Mack post-prison),"Spawned the standalone spinoff Allison After NXIVM, widely covered by entertainment press in 2025. Ad-free early access sits behind a paid tier."
White Devil,Campside Media,2024,early-access-paywall,unsolved-murder; abuse-of-power; institutional-coverup,"Host Josh Dean investigates the shooting death of senior Belizean police officer Henry Jemmott by Canadian property developer Jasmine Hartin, unpacking a story of expat privilege, a hidden empire, and a death still shrouded in mystery.",,Campside Media's first wholly self-owned original series; covered by Deadline as a flagship launch. Ad-free early access sits behind a paid tier.
Witnessed: Devil in the Ditch,Campside Media / Sony Music Entertainment (The Binge),2023,early-access-paywall,unsolved-murder; cold-case; family-secret,"Journalist Larrison Campbell returns to her Mississippi hometown to reinvestigate the unsolved 2003 murder of her own grandmother, exposing a community and family that has long suspected one of its own.",Season 4 of the Witnessed anthology franchise,Part of the acclaimed Witnessed true-crime anthology strand distributed via The Binge.
Witnessed: Night Shift,Campside Media / Sony Music Entertainment,2024,early-access-paywall,serial-killer; institutional-coverup; medical-harm,"Journalist Jake Adelstein (author of Tokyo Vice) returns to his Missouri hometown to investigate a 1992 spike in overnight patient deaths at a VA hospital, and whether a nurse present at nearly every code blue was a serial killer the government covered up.",,Investigates one of the largest suspected undetected serial-killer cases tied to a U.S. federal hospital.
Go-Boy!,Campside Media / iHeartPodcasts,2025,early-access-paywall,historical-reconstruction; survivor-testimony,"Hosted by Sam Mullins, the series traces the legendary criminal career of Roger 'Mad Dog' Caron — 78 bank robberies and 13 prison escapes across Canada's brutal mid-century penitentiaries — and his unlikely redemption as an award-winning author.",,Praised for blending true-crime storytelling with a literary redemption arc; distributed under Campside's Binge-style early-access model despite the iHeart partnership.
Big Time,Apple Original / Campside Media / Piece of Work Entertainment,2025–,platform-locked,charismatic-con-artist; financial-scam,"Hosted by Steve Buscemi, an anthology series delivering a new true story each week about audacious cons, heists, and schemes that almost worked — from fake kidnappings to a stolen shark.",,"Apple Original hosted by actor Steve Buscemi; anthology format drew attention for its starry host and wide-ranging capers. Feed note: Apple Podcasts exclusive, no open RSS on other apps."
Shadow Kingdom: God's Banker,Crooked Media / Campside Media,2025,early-access-paywall,institutional-coverup; financial-scam; historical-reconstruction; religion-faith,"Investigates the 1982 death of Roberto Calvi — 'God's Banker' — found hanging from a London bridge after threatening to expose the Vatican Bank's criminal ties, and the decades-long quest by lawyer Nicolo Majnoni to uncover the truth behind the ruled 'suicide.'",Part of the Shadow Kingdom anthology strand,Explores one of the most enduring unsolved Vatican-linked financial scandals of the 20th century.
Reply All,Gimlet Media (later Spotify),2014–2022,free-public,media-internet-culture; tech-gone-wrong; charismatic-con-artist,"A show ""about the internet"" that mixed narrative reported stories — internet mysteries, scams, tech culture deep-dives — with the hosts' own investigations, including a story that turned into a reckoning with the show's own internal culture.","""The Case of the Missing Hit""; ""The Snapchat Thief""; ""The Test Kitchen"" arc","One of the most acclaimed and influential narrative podcasts of the 2010s, multiple Webby Awards; the ""Test Kitchen"" investigation sparked an internal controversy that contributed to the show's 2022 end."
Crimetown,Gimlet Media,2016–2018,free-public,true-crime; political-scandal; business-empire; institutional-coverup,"Deep-dive narrative documentary series examining organized crime and civic corruption in a different American city each season, built from hundreds of interviews with criminals, cops, and politicians.","Season 1: Providence, RI; Season 2: Detroit",One of Gimlet's flagship true-crime hits; helped define the modern city-by-city organized crime documentary format.
Heavyweight,Gimlet Media (later Spotify),2016–2021,free-public,personal-mystery; family-secret,"Jonathan Goldstein helps guests travel back to the pivotal moment when a relationship or decision in their life went wrong, and tries to help them resolve it.","Episode ""Gregor"" is frequently cited as a standout",Beloved for its emotional craft and humor; consistently ranked among the best narrative podcasts of its era.
StartUp,Gimlet Media,2014–2017,free-public,business-empire; personal-mystery,"The show that launched Gimlet Media, opening with a season narrating founder Alex Blumberg's own real-time struggle to build the company, then continuing with narrative profiles of other startups and small businesses.",Season 1: the founding of Gimlet,The founding show of Gimlet Media; credited with popularizing the behind-the-curtain company-building documentary format.
Uncivil,Gimlet Media,2017–2018,free-public,historical-reconstruction; civil-rights-history; racial-injustice,"Narrative history series digging into overlooked and mythologized stories from the American Civil War, reported from the vantage of marginalized voices.","Full run considered a standout single arc, including ""The Raid"" and ""The Portrait""","Episode ""The Raid"" won a Peabody Award for its co-hosts."
The Habitat,Gimlet Media,2017,free-public,science-wonder,A real-time documentary following six volunteers living inside a simulated Mars habitat on a Hawaiian volcano for a NASA-funded isolation study.,,Praised for turning a scientific psychology experiment into gripping serialized nonfiction drama.
Mogul,Gimlet Media / Loud Speakers Network,2017–2018,free-public,music-history; personal-mystery,"Documentary series on hip-hop history, opening with the life and unsolved death of music executive Chris Lighty.",Season 1: Chris Lighty,One of the first major hip-hop history documentary podcasts; premiered on Spotify ahead of Gimlet's acquisition.
The Clearing,Gimlet Media / Pineapple Street Studios,2020,free-public,serial-killer; family-secret; cold-case,"Docuseries about April Balascio, who as an adult realized her own father, Edward Wayne Edwards, was a serial killer and turned him in.",,Reached #1 on Apple Podcasts.
Stolen,Gimlet Media (Spotify),2021–2023,free-public,disappearance-missing-persons; institutional-coverup; abuse-of-power; survivor-testimony,"Investigative journalist Connie Walker reports on missing and murdered Indigenous people and institutional abuse across North America, with each season a distinct investigation.","S1 ""The Search for Jermain""; S2 ""Surviving St. Michael's""; S3 ""Trouble in Sweetwater""","First podcast to win both a Pulitzer Prize (Audio Reporting) and a Peabody Award. Corrected access: despite Gimlet's Spotify ownership, the show is distributed free on all major podcast apps, not Spotify-exclusive."
Missing Richard Simmons,Pineapple Street Studios (Stitcher),2017,free-public,disappearance-missing-persons; personal-mystery; media-internet-culture,"Personal investigative narrative into fitness icon Richard Simmons' abrupt disappearance from public life, exploring celebrity, isolation, and fandom.",Single season,One of Pineapple Street's first breakout hits; #1 on Apple Podcasts; sparked debate over consent and ethics in podcast journalism.
Wind of Change,Pineapple Street Studios / Crooked Media / Spotify,2020,free-public,espionage-intelligence; music-history; war-conflict; speculative-fiction-as-journalism,"Journalist Patrick Radden Keefe investigates a persistent Cold War-era rumor that the CIA secretly wrote the Scorpions power ballad ""Wind of Change"" as covert propaganda.",Single-season arc,"Widely acclaimed genre-bending investigative series; a Pineapple/Crooked/Spotify co-production nominated for major podcast awards. Corrected access: released simultaneously on Crooked Media's free feed and Spotify, not Spotify-exclusive."
9/12,Pineapple Street Studios,2021,early-access-paywall,historical-reconstruction; survivor-testimony,"Dan Taberski's series about ordinary Americans navigating the surreal, permanently altered country in the days and years after September 11, 2001.",,Won three Ambie Awards including Podcast of the Year (2022).
Running from Cops,Pineapple Street Studios (Stitcher),2018–2020,free-public,police-misconduct; media-internet-culture; abuse-of-power,Dan Taberski's critical examination of the reality TV show Cops and its three-decade influence on American perceptions of policing.,,Peabody Award nominee (2020).
Surviving Y2K,Pineapple Street Studios,2022,free-public,tech-gone-wrong; media-internet-culture; historical-reconstruction,"A look back at the Y2K panic, separating what really happened from the myth as the world braced for computers to fail at the millennium.",,From the Missing Richard Simmons team; praised for blending comedy with reporting.
The Catch and Kill Podcast with Ronan Farrow,Pineapple Street Studios,2020,free-public,abuse-of-power; institutional-coverup; media-internet-culture,"Ronan Farrow extends his book ""Catch and Kill"" into audio, investigating powerful men who allegedly suppressed damaging stories about themselves.",,Companion series to Farrow's bestselling investigation of the Weinstein/NBC news-spiking scandal.
Project Unabom,Pineapple Street Studios,2020,free-public,true-crime; historical-reconstruction,"An in-depth look at the FBI's hunt for the Unabomber, told through interviews with the agents who caught him, Ted Kaczynski's brother, and Kaczynski's own writings.",,Detailed insider account of one of the longest manhunts in FBI history.
My Fugitive,Pineapple Street Studios / Audacy,2023,free-public,personal-mystery; true-crime,Documentary series about a woman's decades-long entanglement with a man wanted by the FBI.,,
Stay Away from Matthew MaGill,Pineapple Street Studios / Audacy,2023,free-public,charismatic-con-artist,Documentary investigating a charismatic figure named Matthew MaGill and the trail of people whose lives he upended.,,
This Land,Crooked Media,2019–2021,free-public,civil-rights-history; institutional-coverup; racial-injustice,"Cherokee journalist Rebecca Nagle investigates a Supreme Court case over tribal sovereignty in Oklahoma, then reports on how the far right exploits Native child-welfare cases to advance a broader legal agenda.",Season 2: the Indian Child Welfare Act fight,Award-winning reporting that broke ground ahead of the McGirt v. Oklahoma Supreme Court ruling.
544 Days,Crooked Media,2021,free-public,war-conflict; survivor-testimony; espionage-intelligence,Washington Post journalist Jason Rezaian recounts his 544 days held hostage in an Iranian prison and his family's fight to win his release.,,First-person account from a journalist who lived the story he reports.
Shadow Kingdom,Crooked Media / Campside Media,2021–,free-public,institutional-coverup; true-crime; abuse-of-power,Anthology series where each season opens with a single crime and unspools into a larger hidden system of power behind it.,,
Missing America,Crooked Media,2020,free-public,political-scandal; institutional-coverup,Documentary series on how the United States abdicated its role as a global example for democracy and human rights during the Trump years.,,
Gaining Ground: The New Georgia,Crooked Media / Tenderfoot TV,2021,free-public,political-scandal; civil-rights-history,"Documentary on the organizers, strategists, and voters who made Georgia's historic 2020–2021 Senate flips possible.",,
Welcome to Your Fantasy,Pineapple Street Studios / Gimlet Media / Crooked Media (Spotify),2021,platform-locked,business-empire; charismatic-con-artist; abuse-of-power; music-history,"Traces the rise and lurid fall of the Chippendales male-stripper empire and its founder Somen 'Steve' Banerjee, blending business history with culture and crime.",,Widely praised true-crime/pop-culture crossover; Spotify-exclusive three-network co-production.
Firebug,Truth Media (Marc Smerling) / Sony Music Entertainment,2021,free-public,unsolved-murder; true-crime,Investigates a decade of unsolved arson attacks that killed four people in Southern California and the strange literary trail — a novel manuscript — that led investigators to the real culprit.,,From a creator of The Jinx; praised for its unusual literary angle on a true-crime investigation.
Radiolab,WNYC Studios,2002–,free-public,science-wonder; historical-reconstruction,"Peabody Award-winning show that turns big science and philosophy questions into deeply reported, sound-designed narrative documentaries, often following a single investigative thread across an episode or season.",UnErased (conversion therapy history); Border Trilogy; Gonads,Multiple Peabody Awards; one of the most influential and widely imitated narrative-audio shows ever made.
UnErased: The History of Conversion Therapy in America,"WNYC Studios / Radiolab, with Focus Features & Stitcher",2018,free-public,survivor-testimony; religion-faith; abuse-of-power,"Four-part narrative documentary tracing the roots and human cost of gay conversion therapy in America through survivor testimony and historical record, released alongside the film Boy Erased.",,Praised as an urgent historical deep-dive tied to an awards-season film; built from original interviews and archival tape.
More Perfect,WNYC Studios,2016–2019,free-public,historical-reconstruction; civil-rights-history; political-scandal,"Narrative documentary series unpacking landmark U.S. Supreme Court cases through the human stories, politics, and consequences behind them.",,Peabody Award winner; widely cited as a model for narrative legal journalism.
La Brega,WNYC Studios & Futuro Studios,2021–,free-public,historical-reconstruction; civil-rights-history,"Bilingual narrative documentary series exploring Puerto Rican identity, history, and crisis through seven defining stories and songs.",,"Ambie and Webby-recognized; praised for bilingual, bicultural storytelling."
Blindspot,WNYC Studios (Season 1 with HISTORY channel),2019–2022,free-public,historical-reconstruction; racial-injustice; corporate-fraud,"Anthology of deeply reported narrative-history documentaries; seasons have reconstructed the road to 9/11, the Tulsa Race Massacre, and the opioid crisis inside Purdue Pharma and the Sackler family.","Tulsa Burning: The Legacy of Black Wall Street (Season 2); The Plague in the Shadows (Season 3, opioid crisis)",Peabody-nominated; Tulsa Burning widely acclaimed for historical reconstruction of the Greenwood massacre.
Caught,WNYC Studios,2018,free-public,institutional-coverup; abuse-of-power; racial-injustice,Narrative documentary series investigating the American juvenile justice system through the lived experience of the kids caught inside it.,,Praised for humanizing systemic failure in youth incarceration through first-person narrative.
There Goes the Neighborhood,"WNYC Studios with KPCC/LAist, WAMU, WFAE, KALW",2017–,free-public,institutional-coverup; personal-mystery; housing-gentrification,"City-by-city narrative documentary series examining gentrification and displacement told through residents' own stories, with separate seasons set in Brooklyn, Los Angeles, the Bay Area, and Charlotte.",,Multi-market public-radio collaboration; award-nominated for its ground-level approach to housing policy.
Dead End: A New Jersey Political Murder Mystery / Dead End: Crime and Politics,WNYC Studios,2022–,free-public,unsolved-murder; political-scandal; institutional-coverup; espionage-intelligence,"True-crime narrative investigation into the unsolved double murder of a politically connected New Jersey couple, with a second season tracing Sen. Bob Menendez's corruption and its espionage entanglements.",Season 2: Menendez's rise and fall,Hosted by veteran WNYC reporter Nancy Solomon; widely reviewed true-crime/political hybrid.
The Experiment,WNYC Studios & The Atlantic,2019–,free-public,civil-rights-history; personal-mystery,"Narrative documentary anthology examining the contradictions of the American experiment through intimate, deeply reported stories.",,Cross-publication collaboration between WNYC Studios and The Atlantic magazine.
Spooked,Snap Judgment Studios,2017–,free-public,speculative-fiction-as-journalism; personal-mystery,"Spinoff anthology of true supernatural and paranormal personal-experience narratives, told in Snap Judgment's cinematic storytelling style.",,One of the most popular horror-adjacent narrative-nonfiction podcasts.
Lost Notes,KCRW,2018–,free-public,music-history; historical-reconstruction,"Anthology music-history documentary series unearthing overlooked or mythologized true stories from pop-music history, with each season built around a theme or era.",Lost Notes: 1980; Groupies: The Women of Sunset Strip from the Pill to Punk,Hosted across seasons by Jessica Hopper and Hanif Abdurraqib; widely praised narrative music journalism.
Bodies,KCRW (Allison Behringer),2018–,free-public,medical-harm; personal-mystery,"Documentary series following one woman's real, unresolved medical mysteries, using each case to interrogate blind spots in the healthcare system.",,"Praised for its intimate, journalistically rigorous approach to women's and reproductive health."
The Document,KCRW,2013–,free-public,personal-mystery,"Documentary series that mashes up first-person tape and reported narrative to tell real, present-tense stories as they unfold.",,KCRW's flagship documentary-format narrative show.
Question Everything,"KCRW (hosted by Brian Reed, creator of S-Town)",2020s,free-public,media-internet-culture; abuse-of-power,Narrative documentary series examining journalists' fraught relationships with the stories they cover and the ethical costs of reporting the truth.,,From the creator of S-Town; applies novelistic narrative technique to media criticism.
16 Shots,WBEZ Chicago,2018,free-public,police-misconduct; institutional-coverup; racial-injustice,Narrative documentary reconstructing the Chicago police killing of Laquan McDonald and the city hall cover-up of the dashcam video that followed.,,Built on WBEZ's award-finalist investigative reporting; widely acclaimed accountability journalism.
Making Obama,WBEZ Chicago,2018,free-public,historical-reconstruction; civil-rights-history,"Narrative history series tracing Barack Obama's rise from Chicago community organizer to U.S. senator, built from original interviews and archival tape.",,Hosted by Jenn White; critically praised origin-story documentary.
Making Oprah,WBEZ Chicago,2017,free-public,historical-reconstruction; business-empire,Narrative history series charting Oprah Winfrey's rise from local Chicago news anchor to global media mogul.,,Hosted by Jenn White; one of WBEZ's most downloaded narrative series.
The Big Ponzi,WBEZ Chicago,,free-public,financial-scam; corporate-fraud; institutional-coverup,Narrative documentary investigating a real financial fraud scheme and the institutional failures that allowed it to run unchecked.,,
Beyond All Repair,WBUR & ZSP Media,2024,free-public,cold-case; wrongful-conviction; unsolved-murder,"Ten-episode cold-case documentary re-investigating a decades-old murder near Boston and the woman convicted of it, from a three-year reinvestigation led by WBUR's Amory Sivertson.",,"Produced with Zac Stuart-Pontier (Crimetown, The Jinx) as lead editor; widely reviewed 2024 breakout true-crime series."
Endless Thread: Madness,WBUR,2020,free-public,institutional-coverup; medical-harm; espionage-intelligence,"Five-part narrative documentary investigating alleged crimes at a prestigious New England institution with ties to the CIA's MKUltra program, told through the internet-mystery lens of Endless Thread.",,From WBUR's Endless Thread team; the reporting seed that grew into Beyond All Repair.
Kind World,WBUR,2015–,free-public,human-connection,"Short-form narrative documentary series telling true stories of unexpected kindness, generosity, and human connection.",,Long-running WBUR narrative strand distributed nationally on public radio.
Imperfect Paradise,LAist Studios,2022–,free-public,institutional-coverup; political-scandal; abuse-of-power,"Weekly longform narrative journalism series digging into the biggest, most consequential Southern California stories, from housing fights to an activist's death to a sheriff's-department scandal.",Season 2: the death of activist Oscar Gomez; Season 3: LA County Sheriff Alex Villanueva,"LAist Studios' flagship narrative series, hosted by Antonia Cereijido."
Norco '80,LAist Studios & Futuro Studios,2022,free-public,true-crime; police-misconduct,"True-crime narrative documentary based on Peter Houlahan's book, reconstructing one of the most violent bank robberies in American history and its lasting effect on U.S. policing.",,Based on an acclaimed nonfiction book; praised for cinematic sound production.
The United States of Anxiety,WNYC Studios,2016–,free-public,racial-injustice; political-scandal; civil-rights-history,"Narrative documentary series unpacking how race, politics, and power shape American life, each season built around deeply reported historical and contemporary throughlines.",,"Hosted by Kai Wright; long-running, multiple award nominations."
Bundyville,Longreads & Oregon Public Broadcasting (OPB),2018–2019,free-public,political-scandal; institutional-coverup; historical-reconstruction,"Nonfiction narrative series by journalist Leah Sottile chronicling the rise, fall, and resurgence of the Bundy family's armed anti-government standoffs, then widening in Season 2 to the broader extremist movement they inspired.",Bundyville: The Remnant (Season 2),Named one of the best podcasts of 2018 by Apple and The Atlantic; National Magazine Award finalist for podcasting.
